"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Wager Bay Plateau (ecoregion)","Total population","1,944","2,119","2,476","2,817","2,884"
,"Population in population centres 5","0","0","0","1,165","1,690"
,"Population in rural areas 5","1,944","2,119","2,476","1,652","1,194"
,"","Number per square kilometre",,,,
,"Total population density","0.009","0.010","0.011","0.013","0.013"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","41.4","58.6"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","58.6","41.4"
,"","Number",,,,
,"Private occupied dwellings 6","471","536","586","684","718"
,"Private occupied dwellings in population centres 5 6","0","0","0","303","486"
,"Private occupied dwellings in rural areas 5 6","471","536","586","381","232"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.002","0.002","0.003","0.003","0.003"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.1","4.0","4.2","4.1","4.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","3.8","3.5"
,"Population per private occupied dwelling in rural areas 5 6","4.1","4.0","4.2","4.3","5.1"
"Northern Ungava Peninsula (ecoregion)","Total population","1,614","1,842","2,097","2,332","2,530"
,"Population in population centres 5","0","0","0","0","1,075"
,"Population in rural areas 5","1,614","1,842","2,097","2,332","1,455"
,"","Number per square kilometre",,,,
,"Total population density","0.048","0.055","0.063","0.070","0.076"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","42.5"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","57.5"
,"","Number",,,,
,"Private occupied dwellings 6","349","396","417","522","574"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","225"
,"Private occupied dwellings in rural areas 5 6","349","396","417","522","349"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.010","0.012","0.013","0.016","0.017"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.6","4.7","5.0","4.5","4.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","4.8"
,"Population per private occupied dwelling in rural areas 5 6","4.6","4.7","5.0","4.5","4.2"
"Southern Arctic (ecozone)","Total population","11,729","14,214","15,610","15,835","17,693"
,"Population in population centres 5","2,058","3,804","6,015","6,256","9,424"
,"Population in rural areas 5","9,671","10,410","9,595","9,579","8,269"
,"","Number per square kilometre",,,,
,"Total population density","0.017","0.021","0.023","0.023","0.026"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","17.5","26.8","38.5","39.5","53.3"
,"Population in rural areas as a share of total population 5","82.5","73.2","61.5","60.5","46.7"
,"","Number",,,,
,"Private occupied dwellings 6","2,871","3,734","3,998","4,171","4,767"
,"Private occupied dwellings in population centres 5 6","576","1,182","1,643","1,676","2,451"
,"Private occupied dwellings in rural areas 5 6","2,295","2,552","2,355","2,495","2,316"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.004","0.005","0.006","0.006","0.007"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.1","3.8","3.9","3.8","3.7"
,"Population per private occupied dwelling in population centres 5 6","3.6","3.2","3.7","3.7","3.8"
,"Population per private occupied dwelling in rural areas 5 6","4.2","4.1","4.1","3.8","3.6"
"Yukon Coastal Plain (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Tuktoyaktuk Coastal Plain (ecoregion)","Total population","984","2,567","2,747","2,012","2,029"
,"Population in population centres 5","0","1,627","1,872","1,098","1,062"
,"Population in rural areas 5","984","940","875","914","967"
,"","Number per square kilometre",,,,
,"Total population density","0.062","0.161","0.172","0.126","0.127"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","63.4","68.1","54.6","52.3"
,"Population in rural areas as a share of total population 5","100.0","36.6","31.9","45.4","47.7"
,"","Number",,,,
,"Private occupied dwellings 6","269","805","901","657","635"
,"Private occupied dwellings in population centres 5 6","0","525","625","375","348"
,"Private occupied dwellings in rural areas 5 6","269","280","276","282","287"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.017","0.050","0.056","0.041","0.040"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.7","3.2","3.0","3.1","3.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","3.1","3.0","2.9","3.1"
,"Population per private occupied dwelling in rural areas 5 6","3.7","3.4","3.2","3.2","3.4"
"Anderson River Plain (ecoregion)","Total population","1","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0s","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","1","0","0","1","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","1","0","0","1","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0.000","0.000","0s","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","1.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","1.0","0.0","0.0","0.0","0.0"
"Dease Arm Plain (ecoregion)","Total population","277","286","294","313","265"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","277","286","294","313","265"
,"","Number per square kilometre",,,,
,"Total population density","0.006","0.006","0.006","0.006","0.005"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","55","67","75","87","88"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","55","67","75","87","88"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.002","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","5.0","4.3","3.9","3.6","3.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","5.0","4.3","3.9","3.6","3.0"
"Coronation Hills (ecoregion)","Total population","1,201","1,212","1,302","1,450","1,491"
,"Population in population centres 5","0","0","0","1,082","1,057"
,"Population in rural areas 5","1,201","1,212","1,302","368","434"
,"","Number per square kilometre",,,,
,"Total population density","0.024","0.024","0.026","0.029","0.029"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","74.6","70.9"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","25.4","29.1"
,"","Number",,,,
,"Private occupied dwellings 6","311","358","359","401","430"
,"Private occupied dwellings in population centres 5 6","0","0","0","293","294"
,"Private occupied dwellings in rural areas 5 6","311","358","359","108","136"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.006","0.007","0.007","0.008","0.008"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.9","3.4","3.6","3.6","3.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","3.7","3.6"
,"Population per private occupied dwelling in rural areas 5 6","3.9","3.4","3.6","3.4","3.2"
"Bluenose Lake Plain (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Bathurst Hills (ecoregion)","Total population","18","5","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","18","5","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.002","0.001","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","4","1","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","4","1","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0s","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","5.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","5.0","0.0","0.0","0.0"
"Queen Maud Gulf Lowland (ecoregion)","Total population","51","5","0","5","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","51","5","0","5","0"
,"","Number per square kilometre",,,,
,"Total population density","0.001","0s","0.000","0s","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","0.0","100.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","15","3","0","2","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","15","3","0","2","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0s","0.000","0s","0.000"
